pid,year,month,MC1000_lat,MC1000_lon,MC1000_mpw,MC1000,det_lat,det_lon,det_mpw,deterministic,stoch20days_lat,stoch20days_lon,stoch20days_mpw,stoch20days
2715,2010,1,26.21199,-80.15952,0.8092,none,26.21241,-80.16019,0.8104,none,26.21513,-80.16105,0.8091,none
2721,2010,1,,,,none,30.08877,-85.74506,0.7673,none,30.0882,-85.74399,0.7672,none
2729,2010,1,30.33225,-86.16474,0.7827,Grayton Beach State Park,30.34117,-86.18278,0.7817,West (Walton) County Beaches,30.18895,-85.98905,0.7905,none
2767,2010,1,30.36646,-86.30161,0.2045,Topsail Hill State Park,30.36295,-86.30499,0.2046,Topsail Hill State Park,30.36829,-86.2988,0.2044,Topsail Hill State Park
2768,2010,1,25.03305,-80.49801,0.6072,none,25.04754,-80.55574,0.605,none,25.05087,-80.56185,0.6046,none
2772,2010,1,27.49064,-80.34378,0.6658,none,28.09798,-80.55035,0.6791,Central Brevard County,27.79218,-80.34865,0.683,none
2773,2010,1,26.23653,-80.11131,0.7201,none,25.67718,-80.19276,0.73,none,25.70618,-80.23434,0.7273,none
2775,2010,1,30.30861,-86.0611,0.7057,East (Walton) County Beaches,30.31809,-86.08096,0.7064,Middle (Walton) County Beaches,30.16598,-85.89671,0.7195,none
2777,2010,1,24.6528,-81.33937,0.7081,Big Pine Key,24.70821,-81.39339,0.7064,none,,,,none
2778,2010,1,24.60722,-82.9016,0.7429,none,,,,none,24.60722,-82.9016,0.7429,none
2785,2010,1,28.3076,-80.63079,0.6696,none,,,,none,,,,none
2789,2010,1,27.21501,-80.22826,0.6789,none,27.25907,-80.22091,0.6802,none,27.24651,-80.21915,0.6803,none
2803,2010,1,,,,none,,,,none,24.70305,-81.40381,0.6973,none
2808,2010,1,24.593,-82.81399,0.7429,none,,,,none,24.63889,-82.9298,0.7425,Dry Tortugas - Loggerhead Key
3498,2010,1,29.6858,-85.29666,1.2873,Cape San Blas,29.67847,-85.2977,1.2868,Cape San Blas,29.69383,-85.30095,1.2868,Cape San Blas
3506,2010,1,30.25514,-85.95768,0.6165,Panama City Beach,30.25727,-85.95586,0.6163,Panama City Beach,30.2582,-86.20455,0.6255,none
3507,2010,1,,,,none,29.97537,-85.53451,0.6177,Tyndall Air Force Base,29.98748,-85.5422,0.6177,Tyndall Air Force Base
3508,2010,1,25.03989,-80.91189,0.643,none,,,,none,25.04079,-80.9106,0.6425,none
3512,2010,1,30.38556,-86.56451,0.6113,Eglin Air Force Base (Okaloosa - East),,,,none,30.2508,-85.99141,0.6166,Panama City Beach
3525,2010,1,25.40403,-80.22954,1.6891,none,25.39876,-80.22975,1.6881,none,25.41226,-80.24786,1.6872,none
3533,2010,1,24.56262,-81.76087,1.5596,Smathers Beach (Key West),26.49009,-80.08411,1.3642,none,24.56463,-81.7592,1.5601,Smathers Beach (Key West)
3567,2010,1,27.44746,-80.31621,0.3822,none,27.43563,-80.31312,0.3824,none,27.44111,-80.31334,0.3822,none
3573,2010,1,26.21938,-80.13075,0.4072,none,26.22158,-80.13194,0.4071,none,26.2134,-80.11844,0.4076,none
3574,2010,1,26.15347,-80.15678,0.4193,none,26.15895,-80.15971,0.419,none,26.1586,-80.15851,0.4191,none
3580,2010,1,24.54618,-82.18658,0.419,none,,,,none,24.54618,-82.18658,0.419,none
3581,2010,1,24.54589,-82.08686,0.419,none,,,,none,24.54589,-82.08686,0.419,none
3635,2010,1,25.43696,-80.32089,0.3396,none,25.44476,-80.31013,0.3449,none,25.45057,-80.3134,0.3444,none
3904,2010,1,28.16684,-80.58763,0.6401,Central Brevard County,,,,none,28.05945,-80.45224,0.642,none
3935,2010,1,26.56112,-80.09536,0.1522,none,25.20638,-80.38792,0.1559,none,25.20646,-80.38981,0.1553,none
3969,2010,1,29.89431,-81.28577,0.5237,Anastasia State Park,29.91171,-81.272,0.526,Anastasia State Park,,,,none
4020,2010,1,24.56281,-81.73976,0.1764,none,24.56052,-81.74587,0.1764,none,24.56044,-81.73983,0.1764,none
4036,2010,1,28.19924,-80.60305,0.1008,Central Brevard County,28.22798,-80.62885,0.1006,none,28.19973,-80.60506,0.1009,Central Brevard County
4037,2010,1,28.17849,-80.65045,0.0666,none,28.25401,-80.63442,0.0677,none,28.19777,-80.60057,0.0682,Central Brevard County
4049,2010,1,,,,none,,,,none,24.95635,-80.42087,0.4428,none
4069,2010,1,25.18871,-80.35778,0.2003,none,25.18562,-80.3656,0.2002,none,25.19043,-80.35158,0.2002,none
4070,2010,1,26.23939,-80.10786,0.1872,none,,,,none,26.24475,-80.10437,0.1872,Pompano/Lauderdale by-the-sea
4079,2010,1,25.08976,-80.74209,0.7061,none,25.08368,-80.7452,0.707,none,25.0903,-80.74012,0.706,none
4088,2010,1,,,,none,,,,none,26.05948,-80.04619,0.336,none
4093,2010,1,,,,none,,,,none,26.99743,-80.09077,0.3105,Jupiter Island
4094,2010,1,25.1437,-80.94304,0.3141,none,25.11265,-80.91164,0.3236,none,25.10275,-80.95373,0.3246,none
4127,2010,1,24.6861,-81.43469,0.2327,none,29.77938,-85.33324,0.2459,none,29.79578,-85.34027,0.2458,none
4139,2010,1,26.8025,-80.0828,0.5563,none,26.79876,-80.08385,0.5568,none,25.29403,-80.25836,0.5656,none
4149,2010,1,28.04222,-80.54529,0.5702,South Brevard County,28.01924,-80.54562,0.5713,South Brevard County,28.05301,-80.54552,0.5699,Central Brevard County
4205,2010,1,,,,none,,,,none,24.6449,-82.98617,0.4816,none
4228,2010,1,26.20818,-80.13859,0.0661,none,26.22606,-80.13949,0.066,none,26.21178,-80.13816,0.066,none
4884,2010,1,24.52003,-82.15488,0.1395,none,,,,none,24.55212,-81.81744,0.14,Fort Zachary Taylor State Park
4886,2010,1,27.39413,-80.30212,0.1432,none,27.38822,-80.29176,0.1434,none,27.39582,-80.29311,0.1433,none
4912,2010,1,26.20296,-80.1546,1.9755,none,26.20709,-80.15739,1.9754,none,26.20857,-80.15606,1.9751,none
4915,2010,1,27.04106,-80.15049,2.0066,none,27.03602,-80.14862,2.0092,none,27.04258,-80.15045,2.0057,none
4918,2010,1,,,,none,,,,none,27.61367,-80.31554,2.0062,none
4921,2010,1,25.27726,-80.29712,2.4191,none,25.27527,-80.30127,2.4146,none,25.25874,-80.29789,2.4264,none
4931,2010,1,26.19541,-80.15803,2.3746,none,26.19632,-80.15839,2.3792,none,26.19348,-80.15909,2.3745,none
4932,2010,1,24.51192,-82.19634,2.4106,none,,,,none,24.59131,-82.1512,2.2713,Marquesas Keys
4938,2010,1,27.20232,-80.23276,2.0744,none,,,,none,27.19925,-80.23099,2.0743,none
4939,2010,1,,,,none,,,,none,25.87043,-80.08103,2.0694,none
4940,2010,1,,,,none,,,,none,26.80639,-80.00887,2.0301,none
4942,2010,1,,,,none,,,,none,24.51481,-81.59765,1.9599,none
4943,2010,1,,,,none,27.86441,-80.46374,2.0728,Sebastian Inlet State Park (Brevard County),27.86173,-80.45535,2.0735,Sebastian Inlet State Park (Brevard County)
4944,2010,1,24.67105,-82.98586,2.0469,none,,,,none,24.67105,-82.98586,2.0469,none
4950,2010,1,26.59211,-80.08733,2.0742,none,26.58842,-80.0866,2.0808,none,26.59161,-80.08394,2.0767,none
4970,2010,1,,,,none,,,,none,24.49316,-81.87241,4.2141,none
4971,2010,1,30.25338,-85.94838,4.0492,Panama City Beach,30.2543,-85.94709,4.049,Panama City Beach,30.25686,-86.06025,4.1285,none
4975,2010,1,25.46873,-80.18562,3.884,Biscayne National Park,25.38968,-80.27512,3.8543,none,25.45531,-80.29153,3.8946,none
4978,2010,1,24.88972,-80.65683,4.3632,none,28.60531,-80.62931,3.8522,none,28.63105,-80.64087,3.8364,none
4979,2010,1,,,,none,28.43863,-80.61786,4.2769,none,,,,none
4980,2010,1,28.20297,-80.6343,3.9143,none,28.10492,-80.55724,4.0291,Central Brevard County,28.1083,-80.5558,4.0293,Central Brevard County
4981,2010,1,24.74155,-80.99139,4.0225,Little Crawl Key,26.95061,-80.0531,3.8733,none,24.59852,-81.46453,4.2287,none
4983,2010,1,24.58364,-82.10357,4.2933,Marquesas Keys,,,,none,,,,none
4989,2010,1,,,,none,25.65292,-80.27542,4.362,none,25.60669,-80.31298,4.347,none
4998,2010,1,25.04591,-80.90929,4.0639,none,25.10636,-80.77334,4.0446,none,,,,none
5000,2010,1,26.60359,-80.03539,3.7256,South Palm Beach,,,,none,30.10165,-85.74871,4.0503,none
5006,2010,1,27.60803,-80.36758,3.1284,none,29.91689,-85.43404,4.0534,none,29.91356,-85.44216,4.0583,none
5007,2010,1,,,,none,25.26354,-80.32179,4.3454,none,25.26454,-80.30822,4.3456,none
5010,2010,1,26.20701,-80.15106,4.2809,none,26.21792,-80.15526,4.2769,none,26.21111,-80.15267,4.2795,none
5015,2010,1,25.25981,-80.3132,4.342,none,25.25902,-80.34036,4.343,none,25.25898,-80.33751,4.3432,none
5017,2010,1,,,,none,28.18959,-80.62547,4.3406,none,28.20111,-80.61752,4.3468,none
5018,2010,1,,,,none,,,,none,25.86166,-81.74978,4.3023,none
5022,2010,1,25.04943,-80.75707,4.3442,none,25.11234,-80.82967,4.3075,none,25.10317,-80.8072,4.3075,none
5024,2010,1,26.20233,-80.14524,4.2608,none,,,,none,26.2073,-80.14352,4.2598,none
5025,2010,1,25.59258,-80.31604,4.3437,none,25.59232,-80.3139,4.3477,none,25.64837,-80.25538,4.3635,none
5043,2010,1,28.22837,-80.64552,0.7292,none,28.17347,-80.61014,0.7397,none,28.24511,-80.63541,0.7341,none
5046,2010,1,25.14699,-80.38367,0.5405,none,25.14518,-80.38367,0.5404,none,25.15783,-80.39281,0.5396,none
5049,2010,1,27.35835,-80.30293,0.5401,none,27.3636,-80.30784,0.5398,none,27.35985,-80.30632,0.5398,none
5054,2010,1,24.80034,-80.82759,0.529,Long Key State Park,,,,none,,,,none
5063,2010,1,27.09039,-80.15796,0.4954,none,27.06976,-80.14402,0.4966,none,27.09058,-80.15931,0.4952,none
5066,2010,1,26.24063,-80.10206,0.4997,Pompano/Lauderdale by-the-sea,26.53969,-80.08511,0.4975,none,26.5368,-80.08929,0.4966,none
5070,2010,1,25.64584,-80.29407,0.4868,none,25.64637,-80.29407,0.487,none,25.64687,-80.29705,0.4866,none
5074,2010,1,27.03672,-80.1529,0.4554,none,27.03305,-80.15485,0.4562,none,27.03308,-80.15407,0.4558,none
5076,2010,1,27.31032,-80.22129,0.4957,Hutchinson Island (St. Lucie County),,,,none,27.26925,-80.20724,0.4968,Hutchinson Island (St. Lucie County)
5118,2010,1,,,,none,,,,none,25.04472,-80.32601,0.1353,none
5133,2010,1,25.04999,-80.64787,0.2522,none,25.03166,-80.66536,0.2518,none,25.04772,-80.64927,0.2521,none
5140,2010,1,24.50208,-82.16345,1.7687,none,,,,none,,,,none
5141,2010,1,,,,none,,,,none,27.252,-80.19361,1.5225,Hutchinson Island
5146,2010,1,24.51554,-82.18296,1.7696,none,,,,none,24.51554,-82.18296,1.7696,none
5159,2010,1,24.88062,-80.64717,0.4525,none,,,,none,24.79729,-80.78898,0.4535,none
5163,2010,1,,,,none,24.6159,-81.50547,0.4636,none,24.6127,-81.49982,0.4639,none
5167,2010,1,,,,none,30.0683,-85.74025,0.4575,none,30.1618,-85.84248,0.459,none
5176,2010,1,25.54103,-80.31317,1.415,none,25.44879,-80.29216,1.4289,none,25.44624,-80.29332,1.4285,none
5199,2010,1,30.33981,-87.09192,1.7284,Pensacola Beach,30.37089,-86.66465,1.7343,none,,,,none
5212,2010,1,25.04537,-80.51041,1.0169,none,25.08852,-80.50894,1.0147,none,25.09095,-80.50795,1.0142,none
5216,2010,1,,,,none,,,,none,30.33825,-87.14664,1.0923,Pensacola Beach
5239,2010,1,27.51014,-80.30453,0.3272,North Saint Lucie County Beaches,27.50657,-80.30522,0.3271,North Saint Lucie County Beaches,27.50605,-80.29907,0.3271,North Saint Lucie County Beaches
5240,2010,1,26.21789,-80.14465,0.3283,none,26.22253,-80.12236,0.3289,none,26.21512,-80.1497,0.3281,none
5241,2010,1,26.20501,-80.14065,0.3271,none,,,,none,26.20891,-80.13723,0.3271,none
5243,2010,1,25.10058,-80.78948,0.7021,none,25.10643,-80.78455,0.702,none,25.10257,-80.79166,0.7021,none
5254,2010,1,25.1973,-80.35694,0.7024,none,,,,none,,,,none
5292,2010,1,27.18997,-80.23991,0.7155,none,27.21128,-80.22768,0.7178,none,27.18592,-80.24431,0.715,none
5342,2010,1,,,,none,,,,none,27.60549,-80.31233,0.5889,none
5347,2010,1,27.19133,-80.23614,1.408,none,27.17932,-80.21915,1.4158,none,27.19296,-80.23747,1.4099,none
5357,2010,1,26.2456,-80.10863,1.4247,none,26.6467,-80.08336,1.4174,none,26.64089,-80.08143,1.4159,none
5391,2010,1,28.13788,-80.63655,0.7722,none,28.13666,-80.62276,0.7755,none,28.13715,-80.63342,0.7731,none
5392,2010,1,28.8935,-80.80412,0.749,Canaveral National Seashore (Volusia County),27.31531,-80.24884,0.7571,none,,,,none
5393,2010,1,26.69848,-80.09825,0.8004,none,26.69864,-80.08039,0.8027,none,26.69809,-80.09419,0.8015,none
5399,2010,1,25.56646,-80.31525,0.8104,none,,,,none,,,,none
5405,2010,1,29.96401,-85.45269,0.787,Tyndall Air Force Base,29.98674,-85.49794,0.7888,none,,,,none
5407,2010,1,26.77066,-80.07915,0.8075,none,26.77931,-80.08545,0.8085,none,,,,none
5411,2010,1,28.16867,-80.64709,0.771,none,28.18961,-80.61408,0.7764,none,28.19124,-80.60724,0.7769,Central Brevard County
5443,2010,1,25.43815,-80.31828,0.6042,none,25.20559,-80.32711,0.6104,none,25.43462,-80.30888,0.6056,none
5449,2010,1,27.0559,-80.14556,0.5958,none,,,,none,27.05826,-80.14707,0.596,none
5747,2010,1,27.04981,-80.14411,0.4735,none,27.04734,-80.13818,0.4738,none,27.05055,-80.14843,0.4733,none
5750,2010,1,25.64941,-80.29402,0.4854,none,25.66624,-80.25874,0.4864,none,25.65059,-80.29896,0.4851,none
5756,2010,1,27.2918,-80.22192,0.6939,Hutchinson Island (St. Lucie County),27.28873,-80.18432,0.6971,none,27.2855,-80.1989,0.6959,Hutchinson Island (St. Lucie County)
5767,2010,1,26.24298,-80.11076,2.3331,none,26.23941,-80.12373,2.3319,none,26.24772,-80.11352,2.332,none
5774,2010,1,24.54445,-81.92467,2.1575,none,26.81248,-80.07822,2.1258,none,26.84963,-80.07903,2.1231,none
5775,2010,1,30.40414,-86.61267,2.2717,West (Okaloosa) County Beaches,30.27755,-87.45443,2.2964,Perdido Key State Park,,,,none
5776,2010,1,24.69527,-81.3686,2.2895,none,26.78686,-80.06097,1.7331,none,27.2047,-80.2354,1.7165,none
5784,2010,1,30.33957,-87.09275,0.7013,Pensacola Beach,30.32056,-87.03622,0.6976,none,30.35055,-87.21786,0.6951,none
5789,2010,1,27.13638,-82.4397,0.471,none,29.89778,-85.41684,0.6825,none,29.90467,-85.40694,0.6822,none
5790,2010,1,30.29496,-86.05653,0.694,East (Walton) County Beaches,30.30256,-86.0739,0.6954,East (Walton) County Beaches,30.34248,-86.1916,0.7033,West (Walton) County Beaches
5792,2010,1,26.15431,-80.16014,0.7199,none,26.15952,-80.16183,0.7202,none,26.15745,-80.16189,0.7199,none
5795,2010,1,30.30186,-87.45146,0.5946,Perdido Key,30.30541,-87.4439,0.5946,Perdido Key,30.18539,-85.83563,0.5858,Panama City Beach
5797,2010,1,27.03192,-80.14769,0.5324,none,27.02813,-80.15393,0.5323,none,27.03188,-80.14984,0.5322,none
5987,2010,1,25.41761,-80.33256,1.0268,none,25.46201,-80.30714,1.0563,none,25.45619,-80.30689,1.0552,none
6018,2010,1,27.86025,-80.45094,1.0391,Sebastian Inlet State Park (Indian River County),27.85293,-80.44759,1.041,Sebastian Inlet State Park (Indian River County),27.85843,-80.45286,1.0389,Sebastian Inlet State Park (Indian River County)
6020,2010,1,28.41595,-80.60849,1.0139,none,28.41088,-80.62169,1.0113,none,28.41545,-80.61141,1.0135,none
6040,2010,1,26.22157,-80.08463,1.1117,Pompano/Lauderdale by-the-sea,,,,none,26.20824,-80.08548,1.1119,Pompano/Lauderdale by-the-sea
6052,2010,1,26.65731,-80.05469,0.9764,Palm Beach (South End),,,,none,,,,none
6056,2010,1,,,,none,29.91264,-81.27586,0.5516,Anastasia State Park,29.91179,-81.27718,0.5508,Anastasia State Park
6060,2010,1,25.36536,-80.24132,0.5267,none,25.39264,-80.28743,0.5329,none,25.40176,-80.29394,0.5322,none
6065,2010,1,26.2395,-80.09604,0.5924,Pompano/Lauderdale by-the-sea,26.23932,-80.08753,0.5927,Pompano/Lauderdale by-the-sea,26.24139,-80.10093,0.5922,Pompano/Lauderdale by-the-sea
6066,2010,1,26.49561,-80.08813,0.5689,none,26.5007,-80.08861,0.5701,none,26.49808,-80.08631,0.5695,none
6479,2010,1,26.80735,-80.09766,0.9753,none,26.80758,-80.08187,0.9781,none,26.80859,-80.09563,0.9761,none
6501,2010,1,25.05861,-80.80129,0.5736,none,,,,none,,,,none
6507,2010,1,30.20044,-85.84865,0.5514,Panama City Beach,30.10595,-85.74506,0.5492,none,30.10784,-85.75506,0.5494,none
6512,2010,1,25.04403,-80.5305,1.898,none,26.05874,-80.16417,1.868,none,26.05325,-80.16277,1.8664,none
6522,2010,1,26.99176,-80.09439,2.0176,Jupiter Island,,,,none,26.9983,-80.10189,2.0169,Jupiter Island
6558,2010,1,26.01014,-80.15896,1.0255,none,25.81206,-80.15861,1.0331,none,25.81022,-80.15717,1.0331,none
6560,2010,1,30.29404,-86.03988,0.9785,East (Walton) County Beaches,30.28303,-86.00233,0.9775,East (Walton) County Beaches,30.26794,-86.05926,0.9961,none
6566,2010,1,28.41222,-80.59387,0.9422,Jetty Park,28.43923,-80.59908,0.9428,none,28.39852,-80.606,0.9421,Jetty Park
6573,2010,1,25.69478,-80.26535,1.1869,none,25.69159,-80.27943,1.1884,none,25.69326,-80.25549,1.1859,none
6574,2010,1,25.43358,-80.33646,1.0901,none,25.53831,-80.30807,1.1116,none,25.53572,-80.30907,1.1096,none
6577,2010,1,30.28157,-87.5936,1.1827,none,30.33329,-87.20142,1.1755,Gulf Islands National Seashore (Fort Pickens),30.34405,-87.25167,1.1709,none
6579,2010,1,24.71644,-81.43413,1.1743,none,,,,none,24.71972,-81.43813,1.174,none
6581,2010,1,26.52873,-80.04274,1.1996,Ocean Ridge (Boynton),,,,none,,,,none
6588,2010,1,27.38287,-80.30898,1.0927,none,27.11744,-80.13083,1.1013,Hobe Sound NWR,27.38284,-80.30931,1.0922,none
6597,2010,1,28.72491,-80.69434,1.1086,Canaveral National Seashore,,,,none,27.1621,-80.1374,1.1015,Hutchinson Island
6601,2010,1,27.23734,-80.23302,1.1104,none,27.23642,-80.23574,1.1116,none,27.23808,-80.23323,1.1098,none
6603,2010,1,24.61454,-82.93555,1.1526,Dry Tortugas - Loggerhead Key,25.6917,-80.18696,1.1122,none,25.66705,-80.19896,1.1137,none
6607,2010,1,30.27003,-87.60781,1.1698,none,30.28897,-87.6189,1.1704,none,30.28655,-87.6106,1.1706,none
6618,2010,1,25.59428,-80.30575,1.213,none,25.60656,-80.31067,1.2134,none,25.59703,-80.30675,1.2124,none
6621,2010,1,30.33597,-86.1551,1.1567,Grayton Beach State Park,30.32446,-86.18029,1.1736,Grayton Beach State Park,30.30704,-86.15336,1.1727,Grayton Beach State Park
6622,2010,1,27.306,-80.25616,1.1744,none,27.26798,-80.20933,1.1845,Hutchinson Island (St. Lucie County),27.2644,-80.21614,1.184,Hutchinson Island (St. Lucie County)
6630,2010,1,,,,none,,,,none,30.35627,-86.85773,1.1311,none
6635,2010,1,28.45528,-80.56734,1.1656,none,28.44777,-80.61541,1.1704,none,28.44489,-80.6086,1.1707,none
6643,2010,1,30.42151,-86.73559,1.328,none,30.42102,-86.73526,1.3276,none,30.36322,-86.63108,1.3308,none
6649,2010,1,24.61375,-82.82272,1.4959,none,,,,none,,,,none
6801,2010,1,30.30574,-86.05568,0.4965,East (Walton) County Beaches,29.79962,-85.41001,0.5117,St. Joseph Peninsula State Park,29.80289,-85.41175,0.5117,St. Joseph Peninsula State Park
6802,2010,1,30.28892,-86.00328,0.7134,East (Walton) County Beaches,30.26537,-85.93867,0.7104,none,30.01783,-85.65375,0.7424,none
6804,2010,1,24.60241,-82.11426,0.7434,Marquesas Keys,,,,none,24.65836,-82.94721,0.7272,none
6805,2010,1,26.19812,-80.16196,0.6821,none,26.19429,-80.15936,0.6837,none,26.19894,-80.16181,0.6827,none
6810,2010,1,29.86045,-85.40143,0.5591,St. Joseph Peninsula State Park,29.73355,-85.31667,0.5568,none,29.85236,-85.39508,0.5593,St. Joseph Peninsula State Park
6812,2010,1,28.95309,-80.88711,0.5751,none,28.95989,-80.88567,0.5769,none,28.9522,-80.88552,0.5758,none
6813,2010,1,25.2707,-80.30178,0.5553,none,25.26804,-80.30013,0.5555,none,25.26934,-80.30007,0.5555,none
6817,2010,1,24.60646,-81.64242,0.5612,none,27.93863,-80.48139,0.5335,South Brevard County,28.19678,-80.63624,0.5289,none
6819,2010,1,30.28684,-86.01108,0.5393,East (Walton) County Beaches,30.28706,-86.05229,0.5468,East (Walton) County Beaches,30.2042,-85.94736,0.5517,none
6821,2010,1,26.14433,-80.16368,0.575,none,26.14315,-80.16122,0.5763,none,26.14437,-80.16496,0.5755,none
7062,2010,1,30.00309,-85.54433,1.8366,Tyndall Air Force Base,30.21649,-86.02248,1.8025,none,30.00531,-85.60385,1.8501,none
7063,2010,1,26.23628,-80.13768,1.9109,none,26.23197,-80.13103,1.9134,none,26.23882,-80.14171,1.9105,none
7069,2010,1,30.34269,-86.16863,1.7765,Grayton Beach State Park,30.30295,-86.36688,1.7615,none,30.29486,-87.19902,1.8017,none
7080,2010,1,,,,none,,,,none,30.29891,-86.24125,0.3282,none
7086,2010,1,,,,none,25.11133,-81.02712,0.3543,none,,,,none
7087,2010,1,24.53653,-82.10072,0.3487,none,,,,none,27.8874,-80.49166,0.3169,none
7092,2010,1,25.10051,-80.4496,0.3572,none,25.10549,-80.4895,0.3574,none,25.10149,-80.44183,0.3568,none
7098,2010,1,25.64864,-80.27054,0.3393,none,25.64125,-80.27383,0.3391,none,,,,none
7099,2010,1,,,,none,25.09896,-81.13229,0.3306,none,25.08631,-81.10592,0.3297,none
7103,2010,1,,,,none,28.61704,-80.65002,0.3006,none,,,,none
7111,2010,1,,,,none,29.56984,-84.8995,0.7654,none,,,,none
7118,2010,1,,,,none,25.12372,-80.35657,0.3248,none,,,,none
7129,2010,1,25.25844,-80.31862,0.3239,none,25.27714,-80.31629,0.3234,none,25.28278,-80.28714,0.323,none
7653,2010,1,,,,none,,,,none,26.27821,-80.05904,1.0698,none
